Designator,Manufacturer Part Number,Quantity
J3,https://www.digikey.ca/product-detail/en/sullins-connector-solutions/PPTC061LFBN-RC/S7004-ND/810145,1
LED2,https://www.digikey.ca/product-detail/en/lite-on-inc/LTST-C191KRKT/160-1447-1-ND/386836,1
R3,https://www.digikey.ca/product-detail/en/yageo/RC0805JR-071KL/311-1.0KARCT-ND/731165,1
"BTN_L1, BTN_L2, BTN_R1, BTN_R2",https://www.digikey.ca/product-detail/en/e-switch/TL3300DF160Q/EG4906CT-ND/2498468,4
