Designator,Manufacturer Part Number,Quantity
CN1,S2B-PH-SM4-TB(LF)(SN),1
LED1,LTST-C191KRKT,1
S2,MA12R,1
"R1, R2",RMCF0805JT100R,2
SCREEN1,see link for screen,1
"BTN_A, BTN_B, BTN_L1, BTN_L2, BTN_R1, BTN_R2, BTN_X, BTN_Y",TL3300AF160Q,8
"BTN_SELECT, BTN_START",222BMVBAR,2
"BTN_DOWN, BTN_LEFT, BTN_RIGHT, BTN_UP",TL3301SPF160QG,4
POWER1,see link for power,1
PI1,see link for smd header,1
